x;y;Image_Number;Condition
2748;2232;1;06_00
2796;2140;2;06_00
2788;2140;3;06_00
2836;2144;4;06_00
2796;2256;5;06_00
2804;2084;6;06_00
2736;2172;7;06_00
2736;2200;8;06_00
2732;1892;9;06_00
2652;2272;10;06_00
2708;2304;11;06_00
2664;2200;12;06_00
2716;2120;13;06_00
2600;2100;14;06_00
2796;2180;15;06_00
2716;2152;16;06_00
2728;2120;1;06_01
2728;2120;2;06_01
2732;2104;3;06_01
2696;2124;4;06_01
2684;2220;5;06_01
2724;2100;6;06_01
2704;2156;7;06_01
2668;2136;8;06_01
2700;2160;9;06_01
2500;2224;10;06_01
2800;2292;11;06_01
2628;2168;12;06_01
2820;2140;13;06_01
2740;2020;1;06_02
2864;2096;2;06_02
2824;2168;3;06_02
2724;2236;4;06_02
2752;2216;5;06_02
2732;2144;6;06_02
2704;2188;7;06_02
2700;2176;8;06_02
2624;2128;9;06_02
2732;2164;10;06_02
2700;2172;11;06_02
2960;2652;12;06_02
2864;2100;13;06_02
2686;2218;14;06_02
2724;2240;15;06_02
2764;1812;1;06_08
2764;1812;2;06_08
2624;2228;3;06_08
2892;2044;4;06_08
2892;2044;5;06_08
2152;2652;6;06_08
2525;1667;7;06_08
2696;2108;8;06_08
2696;2108;9;06_08
2656;2524;1;06_18
2744;2152;2;06_18
2808;2100;3;06_18
2716;2000;4;06_18
2716;2000;5;06_18
2700;2028;1;11_00
2684;2140;2;11_00
2724;2196;3;11_00
2732;2188;4;11_00
2781;2172;5;11_00
2684;2180;6;11_00
2750;2253;7;11_00
2668;2044;8;11_00
2188;1544;9;11_00
2652;1968;10;11_00
2624;2276;11;11_00
2626;2290;12;11_00
2424;2384;13;11_00
2736;2200;14;11_00
2700;2204;15;11_00
2717;2222;16;11_00
2760;2136;1;11_01
2740;2132;2;11_01
2176;2040;3;11_01
2400;1852;4;11_01
2248;1909;5;11_01
2208;1864;6;11_01
2716;2172;7;11_01
2768;2280;8;11_01
2708;2112;9;11_01
2672;2132;10;11_01
2736;2208;11;11_01
2840;2270;12;11_01
2600;2116;13;11_01
2644;2212;14;11_01
2760;2088;1;11_02
2724;2312;2;11_02
2844;2388;3;11_02
2772;2192;4;11_02
2780;2188;5;11_02
2708;2188;6;11_02
2715;1989;7;11_02
2652;2080;8;11_02
2260;2636;9;11_02
2672;2068;10;11_02
2832;2192;11;11_02
2756;2184;12;11_02
2816;2272;13;11_02
2876;2244;14;11_02
2680;2136;15;11_02
2776;2080;16;11_02
2748;2156;1;11_08
2548;2232;2;11_08
2724;2200;3;11_08
2724;2200;4;11_08
2648;2176;5;11_08
2720;2164;6;11_08
2636;2164;7;11_08
2592;2220;8;11_08
2924;2744;1;11_18
2728;2168;2;11_18
2744;2136;3;11_18
2820;2052;4;11_18
2648;2068;5;11_18
2784;2192;6;11_18
2764;2148;7;11_18
2768;2120;8;11_18
2588;2264;9;11_18
2676;2124;10;11_18
2708;2144;11;11_18
2660;2076;12;11_18
2844;2136;13;11_18
2520;2168;14;11_18
2864;2220;1;16_00
2748;2220;2;16_00
2672;2124;3;16_00
2836;2260;4;16_00
2676;2140;5;16_00
2688;2100;6;16_00
2780;2072;7;16_00
2732;2032;8;16_00
2556;2284;9;16_00
2712;1996;10;16_00
2716;2224;11;16_00
2756;2188;12;16_00
2740;2012;13;16_00
2720;2068;14;16_00
2700;2164;15;16_00
2692;2044;16;16_00
2596;2144;1;16_01
2736;2052;2;16_01
2580;2060;3;16_01
2780;2152;4;16_01
2716;1924;5;16_01
2716;2084;6;16_01
3008;2304;7;16_01
2732;2036;8;16_01
2724;2120;9;16_01
2736;2044;1;16_02
2752;2140;2;16_02
2752;2172;3;16_02
2724;2156;4;16_02
2656;2196;5;16_02
2688;2188;6;16_02
2756;2144;7;16_02
2756;2144;8;16_02
2744;2336;9;16_02
2752;2476;10;16_02
2704;2180;11;16_02
2688;2304;12;16_02
2828;2196;13;16_02
2732;2092;14;16_02
2788;2124;15;16_02
2820;2064;16;16_02
2700;2324;1;16_08
2704;2288;2;16_08
2768;2148;3;16_08
2688;2132;4;16_08
2620;2148;5;16_08
2652;2264;6;16_08
2676;2096;7;16_08
2720;2160;8;16_08
2808;1960;9;16_08
2700;2240;10;16_08
2740;2208;11;16_08
2816;2012;12;16_08
2732;2116;13;16_08
2748;2136;1;16_18
2772;2136;2;16_18
2436;2112;3;16_18
2436;2112;4;16_18
2712;2160;5;16_18
2748;2088;6;16_18
2676;2124;7;16_18
2820;2136;8;16_18
2748;2208;9;16_18
2688;2160;10;16_18
2256;1836;11;16_18
2616;2508;12;16_18
2784;2196;13;16_18
2784;2196;14;16_18
2784;2196;15;16_18
2776;2184;1;50_00
2720;2192;2;50_00
2600;2136;3;50_00
2776;2088;4;50_00
2680;2128;5;50_00
2784;2080;6;50_00
2808;2048;7;50_00
2704;2120;8;50_00
2680;2192;9;50_00
2480;2192;10;50_00
2656;2136;11;50_00
2656;2208;12;50_00
2688;2120;13;50_00
2752;2288;14;50_00
2704;1872;15;50_00
2704;2008;16;50_00
2704;2176;1;50_01
2712;2128;2;50_01
2560;2072;3;50_01
2680;2120;4;50_01
2648;2216;5;50_01
2656;2112;6;50_01
2680;2136;7;50_01
2880;2024;8;50_01
2776;2032;9;50_01
2304;2112;10;50_01
2720;2328;11;50_01
2584;2008;12;50_01
2536;2024;13;50_01
2736;2176;1;50_02
2755;2193;2;50_02
2664;2048;3;50_02
2680;1984;4;50_02
2672;2128;5;50_02
2792;2128;6;50_02
2768;2088;7;50_02
2744;2160;8;50_02
2720;2160;9;50_02
2704;2160;10;50_02
2808;2088;11;50_02
2776;2088;12;50_02
2656;2152;13;50_02
2728;2080;14;50_02
2680;2112;15;50_02
2688;2128;1;50_08
2656;2104;2;50_08
2672;2136;3;50_08
2736;2152;4;50_08
2976;2104;1;50_18
2632;2120;2;50_18
2752;2232;3;50_18
2768;2024;4;50_18
2768;2024;5;50_18
2784;2168;6;50_18
2744;2120;7;50_18
2728;2048;8;50_18
2816;2128;9;50_18
2960;2376;10;50_18
2696;2096;11;50_18
2760;2056;12;50_18